,Rank,player,POSrank,Tier
0,0,"""Christian McCaffrey"" ",RB1,RB.
1,1,"""Dalvin Cook"" ",RB2,RB.
2,2,"""Derrick Henry"" ",RB3,RB.
3,3,"""Alvin Kamara"" ",RB4,RB..
4,4,"""Nick Chubb"" ",RB5,RB..
5,5,"""Saquon Barkley"" ",RB6,RB..
6,6,"""Ezekiel Elliott"" ",RB7,RB..
7,7,"""Jonathan Taylor"" ",RB8,RB..
8,8,"""Davante Adams"" ",WR1,WR.
9,9,"""Aaron Jones"" ",RB9,RB..
10,10,"""Tyreek Hill"" ",WR2,WR.
11,11,"""Travis Kelce"" ",TE1,TE.
12,12,"""Stefon Diggs"" ",WR3,WR.
13,13,"""Patrick Mahomes II"" ",QB1,QB.
14,14,"""Austin Ekeler"" ",RB10,RB...
15,15,"""Najee Harris"" ",RB11,RB...
16,16,"""Antonio Gibson"" ",RB12,RB...
17,17,"""D.K. Metcalf"" ",WR4,WR..
18,18,"""DeAndre Hopkins"" ",WR5,WR.
19,19,"""Joe Mixon"" ",RB13,RB..
20,20,"""Calvin Ridley"" ",WR6,WR..
21,21,"""Justin Jefferson"" ",WR7,WR...
22,22,"""A.J. Brown"" ",WR8,WR..
23,23,"""Clyde Edwards-Helaire"" ",RB14,RB....
24,24,"""J.K. Dobbins"" ",RB15,RB...
25,25,"""George Kittle"" ",TE2,TE.
26,26,"""Josh Allen"" ",QB2,QB.
27,27,"""Josh Jacobs"" ",RB16,RB...
28,28,"""Darren Waller"" ",TE3,TE.
29,29,"""D'Andre Swift"" ",RB17,RB....
30,30,"""David Montgomery"" ",RB18,RB...
31,31,"""Miles Sanders"" ",RB19,RB....
32,32,"""Keenan Allen"" ",WR9,WR..
33,33,"""Chris Carson"" ",RB20,RB...
34,34,"""Kyler Murray"" ",QB3,QB.
35,35,"""Terry McLaurin"" ",WR10,WR..
36,36,"""Mike Evans"" ",WR11,WR....
37,37,"""CeeDee Lamb"" ",WR12,WR...
38,38,"""Allen Robinson II"" ",WR13,WR...
39,39,"""Julio Jones"" ",WR14,WR...
40,40,"""Lamar Jackson"" ",QB4,QB.
41,41,"""Dak Prescott"" ",QB5,QB.
42,42,"""Chris Godwin"" ",WR15,WR....
43,43,"""Adam Thielen"" ",WR16,WR....
44,44,"""Kareem Hunt"" ",RB21,RB....
45,45,"""Amari Cooper"" ",WR17,WR...
46,46,"""James Robinson"" ",RB22,RB....
47,47,"""Myles Gaskin"" ",RB23,RB....
48,48,"""Robert Woods"" ",WR18,WR....
49,49,"""Michael Thomas"" ",WR19,WR...
50,50,"""Russell Wilson"" ",QB6,QB..
51,51,"""Kyle Pitts"" ",TE4,TE..
52,52,"""Justin Herbert"" ",QB7,QB..
53,53,"""Aaron Rodgers"" ",QB8,QB..
54,54,"""Cooper Kupp"" ",WR20,WR....
55,55,"""D.J. Moore"" ",WR21,WR...
56,56,"""Tyler Lockett"" ",WR22,WR...
57,57,"""Mark Andrews"" ",TE5,TE..
58,58,"""Ja'Marr Chase"" ",WR23,WR.....
59,59,"""Kenny Golladay"" ",WR24,WR....
60,60,"""T.J. Hockenson"" ",TE6,TE...
61,61,"""Travis Etienne"" ",RB24,RB.....
62,62,"""Diontae Johnson"" ",WR25,WR....
63,63,"""Javonte Williams"" ",RB25,RB.....
64,64,"""Mike Davis"" ",RB26,RB....
65,65,"""Raheem Mostert"" ",RB27,RB....
66,66,"""Melvin Gordon III"" ",RB28,RB....
67,67,"""Brandon Aiyuk"" ",WR26,WR....
68,68,"""Tee Higgins"" ",WR27,WR....
69,69,"""Chase Claypool"" ",WR28,WR......
70,70,"""Chase Edmonds"" ",RB29,RB.....
71,71,"""Odell Beckham Jr."" ",WR29,WR...
72,72,"""Ronald Jones II"" ",RB30,RB....
73,73,"""Tom Brady"" ",QB9,
74,74,"""JuJu Smith-Schuster"" ",WR30,WR.....
75,75,"""Damien Harris"" ",RB31,RB.....
76,76,"""DeVonta Smith"" ",WR31,WR......
77,77,"""D.J. Chark Jr."" ",WR32,WR....
78,78,"""Darrell Henderson"" ",RB32,RB...
79,79,"""Leonard Fournette"" ",RB33,RB....
80,80,"""Michael Carter"" ",RB34,RB.....
81,81,"""Courtland Sutton"" ",WR33,WR....
82,82,"""Matthew Stafford"" ",QB10,QB..
83,83,"""Jalen Hurts"" ",QB11,
84,84,"""Ryan Tannehill"" ",QB12,QB..
85,85,"""Tyler Boyd"" ",WR34,WR.....
86,86,"""Joe Burrow"" ",QB13,QB...
87,87,"""David Johnson"" ",RB35,RB....
